baselinker_id,ovoko_id,confidence,baselinker_name,ovoko_name
1730800,1383,high,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Czujniki/Czujniki parkowania","Czujnik parkowania PDC"
1730801,323,high,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Układ elektryczny silnika/Alternatory/Alternatory kompletne","Kompletne silniki"
1730802,1504,high,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Nawigacje GPS fabryczne","Moduł / Sterownik GPS"
1730804,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Recyrkulacja spalin EGR/Zawory EGR","Kompletne silniki"
1730805,322,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Sterowniki silnika","Silnik"
1730806,323,high,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Układ elektryczny silnika/Rozruszniki/Rozruszniki kompletne","Kompletne silniki"
1730807,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Wentylatory chłodnicy/Wentylatory","Silnik"
1730808,322,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Układ elektryczny silnika/Moduły zapłonowe","Silnik"
1730812,998,high,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Fotele, kanapy","Fotele tylne trzeciego rzędu"
1730814,1210,medium,"Motoryzacja/Części samochodowe/Części karoserii/Progi/Listwy progowe, nakładki","Próg"
1730815,754,high,"Motoryzacja/Części samochodowe/Części karoserii/Drzwi/Drzwi","Drzwi"
1730818,354,high,"Motoryzacja/Części samochodowe/Układ zawieszenia/Sprężyny zawieszenia","Czujnik poziomowania zawieszenia osi przedniej"
1730820,354,high,"Motoryzacja/Części samochodowe/Układ zawieszenia/Amortyzatory i elementy/Amortyzatory","Czujnik poziomowania zawieszenia osi przedniej"
1730821,151,high,"Motoryzacja/Części samochodowe/Oświetlenie/Lampy tylne i elementy/Lampy tylne","Lampy tylne / Komplet"
1730823,556,high,"Motoryzacja/Części samochodowe/Części karoserii/Klapy bagażnika/Klapy bagażnika","Tylna klapa bagażnika"
1730824,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Silniki kompletne","Kompletne silniki"
1730826,754,high,"Motoryzacja/Części samochodowe/Części karoserii/Drzwi/Listwy","Drzwi"
1730827,1509,high,"Motoryzacja/Części samochodowe/Części karoserii/Dachy/Relingi dachowe","Relingi dachowe"
1730829,1201,medium,"Motoryzacja/Wyposażenie i akcesoria samochodowe/Czujniki i kamery cofania/Czujniki cofania","Czujnik"
1730834,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Osłony silnika/Dolne","Kompletne silniki"
1730840,283,medium,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Rolety bagażnika","Gaźnik"
1730842,556,high,"Motoryzacja/Części samochodowe/Części karoserii/Klapy bagażnika/Zawiasy","Tylna klapa bagażnika"
1730844,303,high,"Motoryzacja/Części samochodowe/Części karoserii/Klapki wlewu paliwa/Zamki i siłowniki","Siłownik klapki wlewu paliwa"
1730845,106,high,"Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Spryskiwacze reflektorów","Ramię wycieraczki szyby przedniej / czołowej"
1730846,130,high,"Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Dysze spryskiwaczy","Zbiornik płynu do spryskiwaczy szyby przedniej / czołowej"
1730849,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Przewody układów chłodzenia/Przewody chłodnic wody","Silnik"
1730852,1329,high,"Motoryzacja/Części samochodowe/Układ wydechowy/Sondy lambda","Kolektor wydechowy"
1730853,130,high,"Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Pompki spryskiwaczy","Zbiornik płynu do spryskiwaczy szyby przedniej / czołowej"
1730854,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Zawieszenie silnika/Poduszki silnika","Kompletne silniki"
1730857,899,high,"Motoryzacja/Części samochodowe/Części karoserii/Pasy przednie","Klamra przedniego pasa bezpieczeństwa"
1730859,556,high,"Motoryzacja/Części samochodowe/Części karoserii/Klapy bagażnika/Zamki","Tylna klapa bagażnika"
1730860,1006,medium,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Liczniki, zegary","Zegar"
1730861,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Turbosprężarki/Przewody powietrza turbosprężarki","Kompletne silniki"
1730862,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Przewody powietrza","Kompletne silniki"
1730863,556,high,"Motoryzacja/Części samochodowe/Części karoserii/Klapy bagażnika/Siłowniki","Tylna klapa bagażnika"
1730869,1201,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Czujniki/Pozostałe","Czujnik"
1730870,334,high,"Motoryzacja/Części samochodowe/Układ kierowniczy/Przekładnie kierownicze","Część elektroniczna układu kierowniczego"
1730872,898,high,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Pasy bezpieczeństwa","Klamra tylnego pasa bezpieczeństwa"
1730874,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Pompy podciśnieniowe","Kompletne silniki"
1730875,1097,medium,"Motoryzacja/Części samochodowe/Części karoserii/Dachy/Dachy","Dach"
1730877,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Kierownice powietrza","Silnik"
1730878,339,high,"Motoryzacja/Części samochodowe/Układ kierowniczy/Pompy wspomagania","Mocowanie pompy wspomagania układu kierowniczego"
1730880,199,high,"Motoryzacja/Części samochodowe/Układ klimatyzacji/Kompresory klimatyzacji/Kompresory klimatyzacji","Inne elementy układu klimatyzacji A/C"
1730881,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Pozostałe","Kompletne silniki"
1730883,72,high,"Motoryzacja/Części samochodowe/Układ hamulcowy/Pozostałe","Inne części układu hamulcowego"
1730888,303,high,"Motoryzacja/Części samochodowe/Części karoserii/Klapki wlewu paliwa/Klapki","Siłownik klapki wlewu paliwa"
1730889,1097,medium,"Motoryzacja/Części samochodowe/Części karoserii/Szyby/Szyberdachy","Dach"
1730890,139,high,"Motoryzacja/Części samochodowe/Oświetlenie/Lampy przednie i elementy/Lampy przednie","Lampy przednie / Komplet"
1730891,106,high,"Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Mechanizmy wycieraczek","Ramię wycieraczki szyby przedniej / czołowej"
1730892,754,high,"Motoryzacja/Części samochodowe/Części karoserii/Drzwi/Zamki","Drzwi"
1730893,754,high,"Motoryzacja/Części samochodowe/Części karoserii/Drzwi/Klamki zewnętrzne","Drzwi"
1730894,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Przepływomierze","Kompletne silniki"
1730899,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Pompy wody/Pompy wody","Silnik"
1730900,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Turbosprężarki/Kompletne turbosprężarki","Kompletne silniki"
1730901,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Głowice cylindrów/Głowice","Kompletne silniki"
1730902,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Obudowy filtrów powietrza","Kompletne silniki"
1730903,302,high,"Motoryzacja/Części samochodowe/Układ paliwowy/Pompy paliwa","Zbiornik paliwa"
1730906,1289,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Wyposażenie elektryczne/Klaksony","Klakson"
1730907,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Zbiorniki wyrównawcze","Silnik"
1730908,1201,medium,"Motoryzacja/Części samochodowe/Oświetlenie/Czujniki/Poziomowania","Czujnik"
1730912,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Elementy napędu paska osprzętu/Koła pasowe","Kompletne silniki"
1730919,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Kolektory ssące","Kompletne silniki"
1730920,199,high,"Motoryzacja/Części samochodowe/Układ klimatyzacji/Przewody klimatyzacji","Inne elementy układu klimatyzacji A/C"
1730921,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Pozostałe","Silnik"
1730922,151,high,"Motoryzacja/Części samochodowe/Oświetlenie/Lampy tylne i elementy/Pozostałe","Lampy tylne / Komplet"
1730926,106,high,"Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Pozostałe","Ramię wycieraczki szyby przedniej / czołowej"
1730928,471,high,"Motoryzacja/Opony i felgi/Felgi/Do samochodów/Aluminiowe","Opony letnie R13"
1730959,283,medium,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Boczki bagażnika","Gaźnik"
1730969,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Recyrkulacja spalin EGR/Chłodnice spalin","Kompletne silniki"
1730971,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Smarowanie silnika/Czujniki poziomu oleju","Kompletne silniki"
1730973,1210,medium,"Motoryzacja/Części samochodowe/Części karoserii/Progi/Progi","Próg"
1730974,754,high,"Motoryzacja/Części samochodowe/Wyposażenie wnętrza/Boczki drzwi","Drzwi"
1730975,1097,medium,"Motoryzacja/Części samochodowe/Części karoserii/Dachy/Pozostałe","Dach"
1730976,343,high,"Motoryzacja/Części samochodowe/Układ kierowniczy/Czujniki kąta skrętu","Drążek kierowniczy"
1730977,130,high,"Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Zbiorniki płynu do spryskiwaczy","Zbiornik płynu do spryskiwaczy szyby przedniej / czołowej"
1730980,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Chłodnice/Chłodnice wody","Silnik"
1730981,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Przewody układów chłodzenia/Przewody chłodnic oleju","Silnik"
1730982,302,high,"Motoryzacja/Części samochodowe/Układ paliwowy/Przewody paliwa","Zbiornik paliwa"
1730983,72,high,"Motoryzacja/Części samochodowe/Układ hamulcowy/Hamulce postojowe/Dźwignie hamulca ręcznego","Inne części układu hamulcowego"
1730984,1329,high,"Motoryzacja/Części samochodowe/Układ wydechowy/Wieszaki","Kolektor wydechowy"
1730985,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Blok silnika/Wały korbowe","Kompletne silniki"
1730986,343,high,"Motoryzacja/Części samochodowe/Układ kierowniczy/Pozostałe","Drążek kierowniczy"
1730990,354,high,"Motoryzacja/Części samochodowe/Układ zawieszenia/Zawieszenie hydrauliczne i pneumatyczne/Sterowniki","Czujnik poziomowania zawieszenia osi przedniej"
1730991,199,high,"Motoryzacja/Części samochodowe/Układ klimatyzacji/Czujniki","Inne elementy układu klimatyzacji A/C"
1730992,151,high,"Motoryzacja/Części samochodowe/Oświetlenie/Lampy tylne i elementy/Światła stop","Lampy tylne / Komplet"
1730993,354,high,"Motoryzacja/Części samochodowe/Układ zawieszenia/Pozostałe","Czujnik poziomowania zawieszenia osi przedniej"
1730995,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Osłony silnika/Górne","Kompletne silniki"
1730996,322,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Układ elektryczny silnika/Cewki zapłonowe","Silnik"
1730997,72,high,"Motoryzacja/Części samochodowe/Układ hamulcowy/Układ ABS i ESP/Sterowniki ABS","Inne części układu hamulcowego"
1730998,1106,high,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Wyposażenie elektryczne/Silniczki szyberdachu","Instalacja szyberdachu elektrycznego"
1730999,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Chłodnice/Chłodnice powietrza (intercoolery)","Silnik"
1731000,199,high,"Motoryzacja/Części samochodowe/Układ klimatyzacji/Chłodnice klimatyzacji (skraplacze)","Inne elementy układu klimatyzacji A/C"
1731002,139,high,"Motoryzacja/Części samochodowe/Oświetlenie/Lampy przednie i elementy/Pozostałe","Lampy przednie / Komplet"
1731003,471,high,"Motoryzacja/Opony i felgi/Osprzęt i akcesoria/Śruby","Opony letnie R13"
1731004,1201,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Czujniki/Czujniki przyspieszenia","Czujnik"
1731005,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Smarowanie silnika/Pompy oleju","Kompletne silniki"
1731007,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Chłodnice/Chłodnice oleju","Silnik"
1731008,106,high,"Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Czujniki deszczu","Ramię wycieraczki szyby przedniej / czołowej"
1731009,1201,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Czujniki/Czujniki prędkości","Czujnik"
1731012,1329,high,"Motoryzacja/Części samochodowe/Układ wydechowy/Kolektory wydechowe","Kolektor wydechowy"
1731013,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Zawory podciśnienia","Kompletne silniki"
1731014,354,high,"Motoryzacja/Części samochodowe/Układ zawieszenia/Zawieszenie hydrauliczne i pneumatyczne/Poduszki i miechy","Czujnik poziomowania zawieszenia osi przedniej"
1731019,556,high,"Motoryzacja/Części samochodowe/Części karoserii/Klapy bagażnika/Klamki","Tylna klapa bagażnika"
1731021,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Rozrząd/Wałki rozrządu","Kompletne silniki"
1731023,106,high,"Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Ramiona wycieraczek","Ramię wycieraczki szyby przedniej / czołowej"
1731026,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Blok silnika/Bloki","Kompletne silniki"
1731031,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Głowice cylindrów/Pokrywy zaworów","Kompletne silniki"
1731032,322,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Układ elektryczny silnika/Pozostałe","Silnik"
1731033,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Blok silnika/Tłoki","Kompletne silniki"
1731034,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Smarowanie silnika/Bagnety","Kompletne silniki"
1731035,72,high,"Motoryzacja/Części samochodowe/Układ hamulcowy/Pompy hamulcowe","Inne części układu hamulcowego"
1731036,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Smarowanie silnika/Miski olejowe","Kompletne silniki"
1731037,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Rozrząd/Czujniki położenia wałka rozrządu","Kompletne silniki"
1731038,1329,high,"Motoryzacja/Części samochodowe/Układ wydechowy/Czujniki temperatury spalin","Kolektor wydechowy"
1731041,1329,high,"Motoryzacja/Części samochodowe/Układ wydechowy/Katalizatory","Kolektor wydechowy"
1731042,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Wentylatory chłodnicy/Obudowy wentylatorów","Silnik"
1731043,204,high,"Motoryzacja/Części samochodowe/Układ klimatyzacji/Wentylatory chłodnic klimatyzacji","Chłodnica nagrzewnicy klimatyzacji A/C"
1731045,754,high,"Motoryzacja/Części samochodowe/Części karoserii/Drzwi/Uszczelki","Drzwi"
1731052,106,high,"Motoryzacja/Części samochodowe/Wycieraczki i spryskiwacze/Silniki wycieraczek","Ramię wycieraczki szyby przedniej / czołowej"
1731053,1201,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Czujniki/Czujniki zasysanego powietrza","Czujnik"
1731057,283,medium,"Motoryzacja/Wyposażenie i akcesoria samochodowe/Dywaniki/Maty do bagażnika","Gaźnik"
1731058,336,high,"Motoryzacja/Części samochodowe/Układ kierowniczy/Kolumny kierownicze","Przegub wału kolumny kierowniczej"
1731059,72,high,"Motoryzacja/Części samochodowe/Układ hamulcowy/Hamulce postojowe/Linki hamulca ręcznego","Inne części układu hamulcowego"
1731064,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Rozrząd/Koła zębate","Kompletne silniki"
1731066,1329,high,"Motoryzacja/Części samochodowe/Układ wydechowy/Czujniki ciśnienia spalin","Kolektor wydechowy"
1731068,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Przewody układów chłodzenia/Przewody chłodnic powietrza","Silnik"
1731069,556,high,"Motoryzacja/Części samochodowe/Części karoserii/Klapy bagażnika/Uszczelki","Tylna klapa bagażnika"
1731077,1329,high,"Motoryzacja/Części samochodowe/Układ wydechowy/Osłony","Kolektor wydechowy"
1731080,72,high,"Motoryzacja/Części samochodowe/Układ hamulcowy/Układ ABS i ESP/Czujniki ESP","Inne części układu hamulcowego"
1731083,1329,high,"Motoryzacja/Części samochodowe/Układ wydechowy/Obejmy","Kolektor wydechowy"
1731085,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Recyrkulacja spalin EGR/Przewody EGR","Kompletne silniki"
1731093,1237,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Skrzynki bezpieczników","Bezpiecznik"
1731096,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Turbosprężarki/Zawory","Kompletne silniki"
1731097,754,high,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Wyposażenie elektryczne/Moduły drzwi","Drzwi"
1731098,1465,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Układ elektryczny silnika/Przewody zapłonowe","Przewody zapłonowe"
1731105,2112,high,"Motoryzacja/Części samochodowe/Układ paliwowy/AdBlue/Czujniki","Inne części układu AdBlue"
1731107,139,high,"Motoryzacja/Części samochodowe/Oświetlenie/Lampy przednie i elementy/Przetwornice","Lampy przednie / Komplet"
1731109,1097,medium,"Motoryzacja/Części samochodowe/Części karoserii/Dachy/Listwy, zaślepki","Dach"
1731110,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Blok silnika/Odma","Kompletne silniki"
1731112,343,high,"Motoryzacja/Części samochodowe/Układ kierowniczy/Osłony przekładni kierowniczych","Drążek kierowniczy"
1731114,1242,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Obudowy akumulatorów","Akumulator"
1731120,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Przepustnice","Kompletne silniki"
1731122,1329,high,"Motoryzacja/Części samochodowe/Układ wydechowy/Rury wydechowe","Kolektor wydechowy"
1731124,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Zawieszenie silnika/Wsporniki i łapy","Kompletne silniki"
1731137,391,high,"Motoryzacja/Części samochodowe/Układ zawieszenia/Belki zawieszenia/Belki przednie","Poduszka / Łapa zawieszenia belki osi tylnej"
1731138,323,high,"Motoryzacja/Części samochodowe/Układ wentylacji/Silniki dmuchaw","Kompletne silniki"
1731139,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Rozrząd/Zawory","Kompletne silniki"
1731143,199,high,"Motoryzacja/Części samochodowe/Układ klimatyzacji/Zawory rozprężne","Inne elementy układu klimatyzacji A/C"
1731144,556,high,"Motoryzacja/Części samochodowe/Części karoserii/Klapy bagażnika/Pozostałe","Tylna klapa bagażnika"
1731145,308,high,"Motoryzacja/Części samochodowe/Filtry/Filtry paliwa","Filtr paliwa"
1731147,341,high,"Motoryzacja/Części samochodowe/Układ kierowniczy/Zbiorniki płynu wspomagania","Zbiornik płynu wspomagania układu kierowniczego"
1731148,72,high,"Motoryzacja/Części samochodowe/Układ hamulcowy/Zbiorniki płynu hamulcowego","Inne części układu hamulcowego"
1731153,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Chłodnice/Części montażowe","Silnik"
1731155,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Czujniki spalania stukowego","Kompletne silniki"
1731157,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Czujniki ciśnienia w kolektorze (MAP)","Kompletne silniki"
1731160,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Zawieszenie silnika/Wózki i belki silnika","Kompletne silniki"
1731161,1201,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Czujniki/Czujniki temperatury wewnętrznej","Czujnik"
1731166,177,high,"Motoryzacja/Części samochodowe/Oświetlenie/Lampy przednie i elementy/Lampy przeciwmgielne","Żarówka do lampy przeciwmgielnej"
1731167,1210,medium,"Motoryzacja/Części samochodowe/Części karoserii/Progi/Pozostałe","Próg"
1731168,1201,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Czujniki/Czujniki uderzenia","Czujnik"
1731170,302,high,"Motoryzacja/Części samochodowe/Układ paliwowy/Regulatory ciśnienia paliwa","Zbiornik paliwa"
1731171,269,medium,"Motoryzacja/Części samochodowe/Układ paliwowy/Zawory","Zawór"
1731174,1917,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Termostaty/Obudowy termostatów","Termostat"
1731178,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Pompy wody/Części montażowe","Silnik"
1731183,225,high,"Motoryzacja/Części samochodowe/Filtry/Filtry kabinowe","Obudowa / Osłona mikrofiltra kabinowego"
1731188,310,high,"Motoryzacja/Części samochodowe/Układ paliwowy/Czujniki poziomu paliwa","Czujnik poziomu paliwa"
1731189,339,high,"Motoryzacja/Części samochodowe/Układ kierowniczy/Przewody układu wspomagania","Mocowanie pompy wspomagania układu kierowniczego"
1731191,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Smarowanie silnika/Obudowy filtrów oleju","Kompletne silniki"
1731192,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Turbosprężarki/Smarowanie","Kompletne silniki"
1731199,471,high,"Motoryzacja/Opony i felgi/Koła (felgi z oponami)/Do samochodów","Opony letnie R13"
1731200,471,high,"Motoryzacja/Opony i felgi/Koła (felgi z oponami)/Koła dojazdowe","Opony letnie R13"
1731201,364,high,"Motoryzacja/Części samochodowe/Układ zawieszenia/Stabilizatory i elementy/Drążki stabilizatora","Łącznik stabilizatora przedniego"
1731202,775,high,"Motoryzacja/Części samochodowe/Części karoserii/Szyby/Boczne (drzwi)","Drzwi boczne / przesuwne"
1731204,471,high,"Motoryzacja/Opony i felgi/Felgi/Do samochodów/Stalowe","Opony letnie R13"
1731207,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Smarowanie silnika/Smoki (ssaki oleju)","Kompletne silniki"
1731213,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Rozrząd/Pozostałe","Kompletne silniki"
1731220,391,high,"Motoryzacja/Części samochodowe/Układ zawieszenia/Belki zawieszenia/Belki tylne","Poduszka / Łapa zawieszenia belki osi tylnej"
1731224,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Turbosprężarki/Pozostałe","Kompletne silniki"
1731246,290,high,"Motoryzacja/Części samochodowe/Filtry/Filtry powietrza","Filtr powietrza"
1731262,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Króćce głowicy","Silnik"
1731285,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Smarowanie silnika/Pozostałe","Kompletne silniki"
1731293,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Rozrząd/Napinacze paska rozrządu","Kompletne silniki"
1731307,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Rozrząd/Obudowy","Kompletne silniki"
1731325,72,high,"Motoryzacja/Części samochodowe/Układ hamulcowy/Przewody hamulcowe","Inne części układu hamulcowego"
1731356,754,high,"Motoryzacja/Części samochodowe/Części karoserii/Drzwi/Rygle","Drzwi"
1731360,199,high,"Motoryzacja/Części samochodowe/Układ klimatyzacji/Sterowniki i elementy elektryczne","Inne elementy układu klimatyzacji A/C"
1731371,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Głowice cylindrów/Pozostałe","Kompletne silniki"
1731375,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Blok silnika/Uszczelniacze wału","Kompletne silniki"
1731376,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Blok silnika/Pozostałe","Kompletne silniki"
1731378,177,high,"Motoryzacja/Części samochodowe/Oświetlenie/Lampy tylne i elementy/Lampy przeciwmgielne","Żarówka do lampy przeciwmgielnej"
1731381,72,high,"Motoryzacja/Części samochodowe/Układ hamulcowy/Zestawy montażowe i naprawcze","Inne części układu hamulcowego"
1731386,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Elementy napędu paska osprzętu/Napinacze paska klinowego","Kompletne silniki"
1731390,72,high,"Motoryzacja/Części samochodowe/Układ hamulcowy/Układ ABS i ESP/Czujniki ABS","Inne części układu hamulcowego"
1731391,199,high,"Motoryzacja/Części samochodowe/Układ klimatyzacji/Pozostałe","Inne elementy układu klimatyzacji A/C"
1731395,1201,medium,"Motoryzacja/Części samochodowe/Układ elektryczny, zapłon/Czujniki/Czujniki temperatury zewnętrznej","Czujnik"
1731407,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Blok silnika/Czujniki położenia wału korbowego","Kompletne silniki"
1731424,323,high,"Motoryzacja/Części samochodowe/Silniki i osprzęt/Recyrkulacja spalin EGR/Pozostałe","Kompletne silniki"
1731483,754,high,"Motoryzacja/Części samochodowe/Części karoserii/Drzwi/Wygłuszenie","Drzwi"
1731491,556,high,"Motoryzacja/Części samochodowe/Części karoserii/Klapy bagażnika/Rygle","Tylna klapa bagażnika"
1731494,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Uszczelki","Silnik"
1731500,354,high,"Motoryzacja/Części samochodowe/Układ zawieszenia/Wahacze i elementy/Wahacze","Czujnik poziomowania zawieszenia osi przedniej"
1731501,322,medium,"Motoryzacja/Części samochodowe/Układ chłodzenia silnika/Wentylatory chłodnicy/Włączniki, sterowniki","Silnik"
1731505,303,high,"Motoryzacja/Części samochodowe/Części karoserii/Klapki wlewu paliwa/Pozostałe","Siłownik klapki wlewu paliwa"
1731710,823,medium,"Gniazda zapalniczki","Panel gniazda zapalniczki deski rozdzielczej"
